"Place ID","Title","Latitude","Longitude"
"795","Geological Survey Laboratory","40.105145","-88.241505"
"796","Harding Band Building","40.104624","-88.230453"
"797","Harker Hall","40.108977","-88.226668"
"798","Horticulture Field Laboratory","40.098137","-88.214321"
"799","Huff Hall","40.103540","-88.232936"
"800","Illini Hall","40.109456","-88.229276"
"801","Imported Swine Research Laboratory","40.089849","-88.237259"
"802","International Studies Building","40.107239","-88.231877"
"803","Labor & Employment Relations","40.105428","-88.231446"
"804","Levis Faculty Center","40.108876","-88.221288"
"805","Mailing Center","40.098027","-88.241466"
"806","Meat Sciences Laboratory","40.099155","-88.223120"
"807","Memorial Stadium","40.098123","-88.238553"
"808","Natural Resources Building","40.101252","-88.229098"
"809","Micro and Nonotechnology Laboratory","40.113728","-88.228204"
"810","Natural Resources Studies Annex","40.091862","-88.242273"
"811","Nuclear Physics Lab","40.102685","-88.241908"
"812","Personnel Services Building","40.104106","-88.238707"
"813","Police Training Institute","40.106558","-88.233065"
"814","Printing and Photographic Services Building","40.104106","-88.238704"
"815","Shelford Vivarium Greenhouse","40.111520","-88.230103"
"816","South Studio #6","40.088835","-88.242602"
"817","Speech and Hearing Clinic","40.107957","-88.230364"
"818","Swanlund Administration Building","40.109065","-88.230352"
"819","Temple Hoyne Buell Hall","40.102140","-88.227948"
"820","Transportation Building","40.110649","-88.225576"
"821","University Laboratory High School (Uni High)","40.112730","-88.228797"
"822","University Press","40.098172","-88.241467"
"875","Snyder Hall","40.101469","-88.236488"
"876","Scott Hall","40.101469","-88.236560"
"877","Weston Hall","40.101538","-88.234455"
"878","Forbes Hall","40.104078","-88.238640"
"879","Hopkins Hall","40.103873","-88.238623"
"880","Lundgren Hall","40.103893","-88.234141"
"881","Clark Hall","40.103501","-88.233781"
"882","Barton Hall","40.103915","-88.233435"
"883","Van Doren Hall","40.101473","-88.234521"
"884","Taft Hall","40.103789","-88.233433"
"885","Busey Hall","40.105796","-88.222462"
"886","Evans Hall","40.105947","-88.222525"
"887","Student Staff Apartments","40.110148","-88.223760"
"888","ISR Wardall","40.109071","-88.220693"
"889","ISR Food Service","40.109071","-88.220666"
"890","ISR Townsend","40.109078","-88.219483"
"891","ISR Lounge","40.109071","-88.220666"
"892","Sherman Hall","40.107455","-88.232102"
"893","FARH Trelease Hall","40.099294","-88.220226"
"894","FARH Oglesby Hall","40.099273","-88.221460"
"895","FARH Food Service","40.099274","-88.221412"
"921","Everitt Electrical Building","40.110821","-88.229156"
"923","WPP Research Site","40.083531","-88.218845"
"925","Institute for Government and Public Affairs","40.105626","-88.221355"
"927","Animal Sciences A/C Center","40.104168","-88.223862"
"971","NCSA Petascale Computing Facility","40.095128","-88.242091"
"976","Robert A Evers Laboratory","40.091420","-88.240932"
"991","Office of the Registar","40.109010","-88.219619"
"992","Office of Financial Aid","40.109096","-88.229910"
"1005","Parking Lot E-15","40.100530","-88.233363"
"1008","Burrill Hall","40.109024","-88.223923"
"1009","Optical Physics and Engineering Laboratory","40.111488","-88.230306"
"1010","Illinois Program for Research and Humanities","40.100641","-88.217605"
"1011","Noble Hall","40.103852","-88.233434"
"1012","Flagg Hall","40.103884","-88.233435"
"1089","Orchard Downs","40.096601","-88.213390"
"1091","Orchard Down Multifunctional Landscape","40.098282","-88.209641"
"1191","Prior location of Building Research Council Laboratory (BRC)","40.093536","-88.242276"
"1259","Parking Lot C-9","40.106825","-88.231985"
"1275","Campus Honors House","40.106970","-88.223934"
"1276","Hartley Garden ","40.091907","-88.218960"
"1331","Illinois Center for Transportation","40.285708","-88.120808"
"1484","Arboretum","40.092702","-88.216249"
"1643","Bielfeldt Athletic Administration Building","40.096240","-88.232719"
"1706","Energy Farm","40.065633","-88.208896"
"1727","Yeh Student Center","40.114368","-88.226078"
"1728","Illinois Fire Service Institute","40.087029","-88.243590"
"1735","Krannert Art Museum (KAM)","40.101862","-88.231737"
"1783","Alice Campbell Alumni Center","40.108222","-88.219280"
"1786","Everitt Laboratory","40.110443","-88.227320"
"1834","State Farm Center","40.096261","-88.236083"
"1893","Lincoln Avenue Residence Hall","40.104079","-88.219223"
"2107","Main Quad","40.107619","-88.226738"
"2192","Doris Kelley Christopher Hall","40.105993","-88.220620"
"2409","Housing Food Stores","40.098173","-88.241467"
"2478","Admissions and Records","40.108308","-88.220653"
"2510","Bousfield Hall","40.103718","-88.238606"
"2557","Japan House","40.092765","-88.217888"
"2609","Stock Pavillion","40.101017","-88.227181"
"2639","Brookens Center","40.106895","-88.186422"
"2753","Entomology lab","40.092671","-88.242393"
"2754","Natural Resources Garage","40.100745","-88.228738"
"2755","Jonathan Baldwin Turner Hall","40.102927","-88.224260"
"2756","School of Nursing ","40.109443","-88.223804"
"2757","1210 W Springfield ","40.112865","-88.224914"
"2758","912 W Illinois ","40.109370","-88.220419"
"2759","Biological Control Lab","40.092351","-88.242466"
